file_path,transcript,duration,segment_index,speaker_role,stress_score,alert_level,Manual_Risk_Label,true_label,predicted_label
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1000_seg_0.wav,ONE TWO SEVEN ONE TWO FIVE GOOD BYE LUFTHANSA NINER ALPHA FOXTROT,4.25,1,UNKNOWN,17.00477227871629,EMERGENCY,low,0,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1002_seg_0.wav,TWINSTAR EIGHT EIGHT SEVEN DESCEND FOUR THOUSAND FEET CLEARED ILS APPROACH RUNWAY THREE ONE REPORT WHEN ESTABLISHED,0.78,3,UNKNOWN,33.32643800390199,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1009_seg_0.wav,DESCENDING LEVEL SEVEN ZERO CSA SEVEN THREE TWO THREE,2.13,10,UNKNOWN,50.80580514064056,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1011_seg_0.wav,TANGO TWO ONE THREE TAXI TO PARKING IS APPROVED,5.87,13,UNKNOWN,41.24290956551951,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1013_seg_0.wav,JUMP RUN EIGHT ZERO THREE VACATE TO THE LEFT TAXI CHARLIE ALPHA STAND WESTERN APRON,3.34,15,UNKNOWN,15.814966438710847,EMERGENCY,low,0,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1014_seg_0.wav,GOOD AFTERNOON AIRFRANS ONE SEVEN EIGHT TWO RADAR RADAR CONTACT DESCEND FLIGHT LEVEL,2.39,16,UNKNOWN,0.0,Routine,low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1028_seg_0.wav,SAY AGAIN CAN YOU THREE BY FIVE HELI HOTEL YANKEE,0.88,31,UNKNOWN,0.0,Routine,low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1036_seg_0.wav,ONE THREE ONE ZERO FIVE FIVE MIKE ALPHA KILO THANKS BYE BYE,3.45,40,UNKNOWN,15.845992076200057,EMERGENCY,low,0,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1037_seg_0.wav,LUFTHANSA FIVE MIKE ECHO DESCEND FLIGHT LEVEL SIX ZERO,5.08,41,UNKNOWN,32.21042161332238,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1038_seg_0.wav,TWO FIVE THREE EIGHT,1.98,42,UNKNOWN,43.12813613060905,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1048_seg_0.wav,NOT YET,2.42,53,UNKNOWN,54.50331143607751,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1055_seg_0.wav,CLIMBING LEVEL ONE SIX ZERO LOT FIVE TWO EIGHT,2.51,61,UNKNOWN,100.0,EMERGENCY,critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1057_seg_0.wav,CIMBER THREE FIVE TWO SEVEN LEFT TURN HEADING ONE FOUR ZERO CLEARED FOR ILS APPROACH RUNWAY ONE THREE,3.91,63,UNKNOWN,39.40722047533737,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1058_seg_0.wav,HOTEL ECHO XRAY FINAL TWO FIVE FOR TOUCH AND GO,2.75,64,UNKNOWN,100.0,EMERGENCY,critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1059_seg_0.wav,ISRAEL TWO FIVE TWO PRAHA GOOD EVENING RADAR CONTACT,5.42,65,UNKNOWN,14.923909653435617,EMERGENCY,low,0,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1061_seg_0.wav,HOTEL HOTEL OSCAR,5.18,68,UNKNOWN,100.0,EMERGENCY,critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1068_seg_0.wav,GOOD DAY AUSTRIAN SEVEN ZERO FOUR PRAHA RADAR RADAR CONTACT CLIMB FLIGHT LEVEL ONE FOUR ZERO HIGH SPEED APPROVED,1.89,75,UNKNOWN,53.74135593180686,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1074_seg_0.wav,CHINA SOUTHERN THREE TWENTY SIX CONTACT DEPARTURE,4.87,82,UNKNOWN,28.55925857476821,EMERGENCY,low,0,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1077_seg_0.wav,TWO EIGHT ZERO,2.2,85,UNKNOWN,100.0,EMERGENCY,critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1078_seg_0.wav,RUNWAY TWO FIVE CLEARED TO LAND NINER JULIETT LIMA,7.87,86,UNKNOWN,27.75038926165644,EMERGENCY,low,0,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1080_seg_0.wav,SWISS FOUR,7.18,89,UNKNOWN,100.0,EMERGENCY,critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1081_seg_0.wav,OSCAR SIERRA JULIETT DESCEND FLIGHT LEVEL SEVEN ZERO,3.23,90,UNKNOWN,46.581504468102736,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1082_seg_0.wav,ROGER CLEARED TO LAND RUNWAY THREE FOUR LEFT EXIT ON THE HIGH SPEED ON RIGHT,5.2,91,UNKNOWN,100.0,EMERGENCY,critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1083_seg_0.wav,OSCAR ECHO INDIA TANGO HOTEL TOWER ON TAXIWAY KILO CROSS RUNWAY TWO EIGHT CONTACT APRON ONE TWO ONE DECIMAL SEVEN FIVE FIVE BYE BYE,2.015,92,UNKNOWN,52.21139779463036,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1087_seg_0.wav,BAIR SEVEN ONE TWO TAXI VIA DELTA LINE UP RUNWAY ZERO FOUR,4.44,96,UNKNOWN,91.68065147954214,EMERGENCY,critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1093_seg_0.wav,ILS ESTABLISHED RUNWAY ONE THREE,3.88,103,UNKNOWN,99.53861270342976,EMERGENCY,critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1095_seg_0.wav,CONTACT TOWER ONE ONE EIGHT ONE GOOD NIGHT,5.55,105,UNKNOWN,6.178774386515975,EMERGENCY,low,0,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1098_seg_0.wav,DIRECT RAPET THANK YOU LUFTHANSA CARGO EIGHT FIVE ZERO NINER,5.0,108,UNKNOWN,0.0,Routine,low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1099_seg_0.wav,OSCAR KILO ECHO LIMA ALPHA CLIMB TO FLIGHT LEVEL SEVEN ZERO,1.17,109,UNKNOWN,37.12088143485512,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1100_seg_0.wav,NOVEMBER MIKE ALPHA ROGER AND YOU ARE RECLEARED STRAIGHT IN ILS APPROACH ONE FOUR,1.93,112,UNKNOWN,36.82009904189124,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_110_seg_0.wav,EIGHT EIGHT SEVEN,1.01,122,UNKNOWN,46.34936299219538,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1112_seg_0.wav,SPEEDBIRD ONE ZERO NINER CONTACT BRATISLAVA ONE THREE FOUR DECIMAL FOUR SEVEN FIVE,1.91,125,UNKNOWN,54.90095566334808,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1118_seg_0.wav,CSA SIX ZERO FIVE ZERO DIRECT GRATZ,1.84,131,UNKNOWN,100.0,EMERGENCY,critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1119_seg_0.wav,CLEARED TO LAND RUNWAY THREE ONE SOUTHERNAIR EIGHT FIVE ZERO ZERO,3.71,132,UNKNOWN,59.51165727655061,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1120_seg_0.wav,LUFTHANSA EIGHT LIMA JULIETT PRAHA RADAR CONTACT,1.2,134,UNKNOWN,100.0,EMERGENCY,critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1121_seg_0.wav,SUNEXPRESS THREE TWO SEVEN PRAHA RADAR GOOD EVENING RADAR CONTACT,2.63,135,UNKNOWN,59.369173683431285,EMERGENCY,moderate,1,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1123_seg_0.wav,TURKISH ONE NINER FIVE THREE CONTINUE PRESENT HEADING DUE,5.46,137,UNKNOWN,0.0,Routine,low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1125_seg_0.wav,NOR SHUTTLE THREE FIVE EIGHT ZERO RUNWAY THREE ONE CLEARED TO LAND WIND ONE EIGHT ZERO DEGREES FIVE KNOTS RUNWAY THREE ONE CLEARED TO LAND NOR SHUTTLE THREE FIVE EIGHT ZERO,3.08,139,UNKNOWN,0.0,Routine,low,0,0
