file_path,transcript,duration,segment_index,speaker_role,stress_score,Manual_Risk_Label,y_true,pred_label
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_0_seg_0.wav,SIERRA DELTA MIKE,1.42,0,UNKNOWN,0.380608802096662,Low,0,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1000_seg_0.wav,ONE TWO SEVEN ONE TWO FIVE GOOD BYE LUFTHANSA NINER ALPHA FOXTROT,4.25,1,UNKNOWN,0.28933406871983786,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1001_seg_0.wav,CSA ZERO TWO FIVE HEADING THREE ONE FIVE DESCEND FLIGHT LEVEL NINER ZERO,2.75,2,UNKNOWN,0.7323751574123823,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1002_seg_0.wav,TWINSTAR EIGHT EIGHT SEVEN DESCEND FOUR THOUSAND FEET CLEARED ILS APPROACH RUNWAY THREE ONE REPORT WHEN ESTABLISHED,0.78,3,UNKNOWN,0.4633959443498479,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1003_seg_0.wav,ARE CLEARED TO LAND RUNWAY TWO FOUR CSA ONE DELTA ZULU,2.44,4,UNKNOWN,0.8099239572518575,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1004_seg_0.wav,ONE TWO SEVEN ONE TWO FIVE CSA SEVEN,4.19,5,UNKNOWN,0.11560367177919768,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1005_seg_0.wav,LUFTHANSA NINER ALPHA HOTEL CLIMB TO FLIGHT LEVEL THREE FOUR ZERO,2.88,6,UNKNOWN,0.5499558576458026,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1006_seg_0.wav,LUFTHANSA NINER JULIETT CHARLIE TRAFFIC INFORMATION HELICOPTER JUST LANDING ON HELIPORT,5.45,7,UNKNOWN,0.26581281483395386,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1007_seg_0.wav,RUNWAY ONE THREE HELLO AUSTRIAN SEVEN,1.32,8,UNKNOWN,0.016513112849810316,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1008_seg_0.wav,PRESENT HEADING,4.84,9,UNKNOWN,0.789390790892303,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1009_seg_0.wav,DESCENDING LEVEL SEVEN ZERO CSA SEVEN THREE TWO THREE,2.13,10,UNKNOWN,0.6224999727257728,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_100_seg_0.wav,LUFTHANSA ONE FOUR NINER TWO PRAHA GOOD EVENING RADAR CONTACT REPORT REQUESTED FLIGHT LEVEL,4.118,11,UNKNOWN,0.8343384665811748,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1010_seg_0.wav,CSA NINER SEVEN SEVEN RUNWAY THREE ONE CLEARED TO LAND WIND ONE EIGHT ZERO DEGREES TWO KNOTS,1.43,12,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1011_seg_0.wav,TANGO TWO ONE THREE TAXI TO PARKING IS APPROVED,5.87,13,UNKNOWN,0.5379532147074919,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1012_seg_0.wav,HOTEL GOLF YANKEE WE APPRECIATE THE SHORTCUT,2.9,14,UNKNOWN,0.46635882520444405,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1013_seg_0.wav,JUMP RUN EIGHT ZERO THREE VACATE TO THE LEFT TAXI CHARLIE ALPHA STAND WESTERN APRON,3.34,15,UNKNOWN,0.275009560643039,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1014_seg_0.wav,GOOD AFTERNOON AIRFRANS ONE SEVEN EIGHT TWO RADAR RADAR CONTACT DESCEND FLIGHT LEVEL,2.39,16,UNKNOWN,0.0,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1015_seg_0.wav,THANK YOU BREAK BREAK HOTEL GOLF OSCAR HELICOPTER ON YOUR RIGHT HAND SIDE WE WILL CROSS BEHIND YOU,2.86,17,UNKNOWN,0.4758921512444644,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1016_seg_0.wav,LINE UP RUNWAY ONE THREE,1.71,18,UNKNOWN,0.5312409222488135,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1017_seg_0.wav,LUFTHANSA FIVE MIKE ECHO SORRY SAY AGAIN,5.32,19,UNKNOWN,0.2932435734810608,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1018_seg_0.wav,ROGER LINE UP RUNWAY THREE ONE LINING UP THREE ONE LOT FIVE ROMEO,2.8,20,UNKNOWN,0.18026460643762013,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1019_seg_0.wav,DIRECT OSCAR KILO GOLF VICTOR DELTA XRAY,3.48,21,UNKNOWN,0.7102522621444508,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_101_seg_0.wav,CLIMBING FLIGHT LEVEL ONE SIX ZERO QUALITY NINER ONE ROMEO,2.3,22,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1020_seg_0.wav,DIRECT LAGAR THANK YOU SIERRA ALPHA ECHO,2.65,23,UNKNOWN,0.31152117861003964,Low,0,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1021_seg_0.wav,ONE HUNDRED,0.9,24,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1022_seg_0.wav,NOVEMBER GOLF PAPA READ BACK CORRECT REPORT FOR TAXI,1.06,25,UNKNOWN,0.475348339030216,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1023_seg_0.wav,TOWER EIGHTEEN ONE CSA,1.33,26,UNKNOWN,0.6630478043241762,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1024_seg_0.wav,SEVEN ZERO THREE GOOD BYE,2.1,27,UNKNOWN,0.5033358287086949,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1025_seg_0.wav,ONE THREE TWO,4.68,28,UNKNOWN,0.8067555168311219,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1026_seg_0.wav,SEVEN FIVE EIGHT,4.45,29,UNKNOWN,0.2562874164516712,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1027_seg_0.wav,STANDBY,4.82,30,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1028_seg_0.wav,SAY AGAIN CAN YOU THREE BY FIVE HELI HOTEL YANKEE,0.88,31,UNKNOWN,0.0,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1029_seg_0.wav,LEVEL THREE SEVEN ZERO APPROACHING TOMTI,4.9,32,UNKNOWN,0.3754824315147965,Low,0,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_102_seg_0.wav,DESCEND FLIGHT LEVEL SEVEN ZERO SEVEN ZERO TWO SIX NINER SIX ZERO,2.72,33,UNKNOWN,0.536781069460045,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1030_seg_0.wav,CONNIE EIGHT THREE FIVE COPY,1.79,34,UNKNOWN,0.4828215868235639,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1031_seg_0.wav,CSA EIGHT MIKE THREE RUNWAY THREE ONE CLEARED TO LAND WIND ONE SEVEN ZERO DEGREES THREE KNOTS,3.19,35,UNKNOWN,0.5901059735595678,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1032_seg_0.wav,HELI LIMA JULIETT JOIN MID LEFT HELI CIRCUIT THREE TWO LAND AT OWN DISCRETION SWISS HELICOPTER WIND ZERO FOUR ZERO DEGREES ONE ZERO KNOTS,3.09,36,UNKNOWN,0.20437693570438167,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1033_seg_0.wav,HOLD THE HOLDING POINT AND WE,1.17,37,UNKNOWN,0.3328683177487828,Low,0,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1034_seg_0.wav,ONE THREE THREE THREE NINER ZERO THREE ONE TWO CHARLIE BYE BYE,5.61,38,UNKNOWN,0.7933315914367345,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1035_seg_0.wav,HELLO CHANNEX EIGHT SEVEN PAPA ROMEO RUZYNE TOWER CONTINUE APPROACH,2.2,39,UNKNOWN,0.986593802485133,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1036_seg_0.wav,ONE THREE ONE ZERO FIVE FIVE MIKE ALPHA KILO THANKS BYE BYE,3.45,40,UNKNOWN,0.27538710724166365,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1037_seg_0.wav,LUFTHANSA FIVE MIKE ECHO DESCEND FLIGHT LEVEL SIX ZERO,5.08,41,UNKNOWN,0.45247801925684134,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1038_seg_0.wav,TWO FIVE THREE EIGHT,1.98,42,UNKNOWN,0.5550504802380408,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1039_seg_0.wav,JETSTAR SEVEN SIX ONE WIND IS CALM RUNWAY ONE SIX RIGHT CLEARED TO LAND,2.9,43,UNKNOWN,0.9482363602056926,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_103_seg_0.wav,CSA FIVE DELTA ROMEO RUNWAY ONE THREE CLEARED TO LAND WIND ZERO EIGHT ZERO DEGREES,1.7,44,UNKNOWN,0.6934558513808288,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1040_seg_0.wav,EXPECT TWO HOLDINGS,1.33,45,UNKNOWN,0.837449072482361,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1041_seg_0.wav,PRAGUE RADAR GOOD AFTERNOON CHARLIE INDIA GOLF ONE SIX FOUR TWO CLIMBING LEVEL TWO EIGHT ZERO INBOUND OSCAR KILO GOLF,7.26,46,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1042_seg_0.wav,DOWN FLIGHT LEVEL ONE ZERO ZERO SKYTRAVEL ONE ZERO THREE FIVE,1.89,47,UNKNOWN,0.26735015799225864,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1043_seg_0.wav,QATARI THREE ZERO SIX FOUR HELLO PRAHA RADAR CONTACT CLIMB FLIGHT LEVEL THREE THREE ZERO,7.35,48,UNKNOWN,0.3760260543470939,Low,0,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1044_seg_0.wav,HOTEL ECHO LIMA AFFIRM REMAIN ON MY FREQUENCY YOU ARE STILL WITHIN THE TMA,5.34,49,UNKNOWN,0.8366877045028739,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1045_seg_0.wav,CLIMB FLIGHT LEVEL ONE,3.9,50,UNKNOWN,0.7428062643762648,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1046_seg_0.wav,CSA NINER THREE ZERO CLIMB FLIGHT LEVEL ONE SIX,4.28,51,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1047_seg_0.wav,ONE SIX RIGHT CLEARED TO LAND AND UNDERSTOOD QANTAS FOUR NINETY EIGHT,2.86,52,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1048_seg_0.wav,NOT YET,2.42,53,UNKNOWN,0.6538769414771252,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1049_seg_0.wav,PRAHA LUFTHANSA EIGHT VICTOR LIMA SAY AGAIN,3.89,54,UNKNOWN,0.36838531841572997,Low,0,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_104_seg_0.wav,HELLO LUFTHANSA SEVEN EIGHT SEVEN PRAHA RADAR RADAR CONTACT CLIMB FLIGHT LEVEL ONE TWO ZERO CLIMBING FLIGHT LEVEL ONE TWO ZERO LUFTHANSA SEVEN EIGHT SEVEN,6.87,55,UNKNOWN,0.5270557680902788,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1050_seg_0.wav,OKAY COPY THANK YOU,4.47,56,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1051_seg_0.wav,HOTEL GOLF BRAVO IS ECHO TWO AT THREE THOUSAND THREE HUNDRED FEET,3.11,57,UNKNOWN,0.0,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1052_seg_0.wav,CSA SEVEN SEVEN THREE AND HIGHER SPEED APPROVED,4.27,58,UNKNOWN,0.3437280592210142,Low,0,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1053_seg_0.wav,CLEARED TO LAND RUNWAY ONE THREE CSA FIVE MIKE BRAVO,4.18,59,UNKNOWN,0.7697111426243095,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1054_seg_0.wav,ONE TWO FIVE,6.215,60,UNKNOWN,0.43573139846550646,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1055_seg_0.wav,CLIMBING LEVEL ONE SIX ZERO LOT FIVE TWO EIGHT,2.51,61,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1056_seg_0.wav,LINE UP RUNWAY,1.35,62,UNKNOWN,0.8908851485890801,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1057_seg_0.wav,CIMBER THREE FIVE TWO SEVEN LEFT TURN HEADING ONE FOUR ZERO CLEARED FOR ILS APPROACH RUNWAY ONE THREE,3.91,63,UNKNOWN,0.5210783899577484,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1058_seg_0.wav,HOTEL ECHO XRAY FINAL TWO FIVE FOR TOUCH AND GO,2.75,64,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1059_seg_0.wav,ISRAEL TWO FIVE TWO PRAHA GOOD EVENING RADAR CONTACT,5.42,65,UNKNOWN,0.2640692474993135,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_105_seg_0.wav,JETSTAR SEVEN SIXTY SEVEN SYDNEY TOWER,2.46,66,UNKNOWN,0.30867049366728494,Low,0,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1060_seg_0.wav,NOVEMBER MIKE ALPHA VECTORING FOR A SHORT APPROACH TURN LEFT HEADING TWO FOUR ZERO,2.99,67,UNKNOWN,0.760998964044728,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1061_seg_0.wav,HOTEL HOTEL OSCAR,5.18,68,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1062_seg_0.wav,HOTEL OSCAR ECHO THE SECOND TRAFFIC IS NOW TO OVERHEAD WHISKEY ONE OPOSITE,6.175,69,UNKNOWN,0.33216056149493445,Low,0,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1063_seg_0.wav,HOTEL ECHO XRAY WIND TWO SIX ZERO DEGREES ONE ZERO KNOTS RUNWAY TWO FIVE CLEARED TO LAND,2.28,70,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1064_seg_0.wav,THREE FOUR DECIMAL FIVE,6.0,71,UNKNOWN,0.0,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1065_seg_0.wav,EL AL FIVE TWO TWO GOOD EVENING RADAR RADAR CONTACT,1.67,72,UNKNOWN,1.0,Critical,3,3
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1066_seg_0.wav,CHANNEX SIX SIX HUNDRED PRAHA HELLO RADAR CONTACT DESCEND TO FLIGHT LEVEL THREE FOUR ZERO,1.48,73,UNKNOWN,0.5520087685674796,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1067_seg_0.wav,AUSTRIAN SEVEN ZERO SEVEN PAPA REDUCE SPEED TWO ZERO ZERO,6.58,74,UNKNOWN,0.0,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1068_seg_0.wav,GOOD DAY AUSTRIAN SEVEN ZERO FOUR PRAHA RADAR RADAR CONTACT CLIMB FLIGHT LEVEL ONE FOUR ZERO HIGH SPEED APPROVED,1.89,75,UNKNOWN,0.6474646080719842,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1069_seg_0.wav,QNH ONE ZERO ONE EIGHT AFTER KEEP THE PROCEEDING TO VICTOR,3.26,76,UNKNOWN,0.8879167210674868,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_106_seg_0.wav,HOTEL ECHO XRAY FINAL TWO FIVE FOR TOUCH AND GO,7.84,77,UNKNOWN,0.4436235583677558,Moderate,1,1
