file_path,transcript,duration,segment_index,speaker_role
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_0_seg_0.wav,SIERRA DELTA MIKE,1.42,0,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1000_seg_0.wav,ONE TWO SEVEN ONE TWO FIVE GOOD BYE LUFTHANSA NINER ALPHA FOXTROT,4.25,1,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1001_seg_0.wav,CSA ZERO TWO FIVE HEADING THREE ONE FIVE DESCEND FLIGHT LEVEL NINER ZERO,2.75,2,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1002_seg_0.wav,TWINSTAR EIGHT EIGHT SEVEN DESCEND FOUR THOUSAND FEET CLEARED ILS APPROACH RUNWAY THREE ONE REPORT WHEN ESTABLISHED,0.78,3,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1003_seg_0.wav,ARE CLEARED TO LAND RUNWAY TWO FOUR CSA ONE DELTA ZULU,2.44,4,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1004_seg_0.wav,ONE TWO SEVEN ONE TWO FIVE CSA SEVEN,4.19,5,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1005_seg_0.wav,LUFTHANSA NINER ALPHA HOTEL CLIMB TO FLIGHT LEVEL THREE FOUR ZERO,2.88,6,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1006_seg_0.wav,LUFTHANSA NINER JULIETT CHARLIE TRAFFIC INFORMATION HELICOPTER JUST LANDING ON HELIPORT,5.45,7,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1007_seg_0.wav,RUNWAY ONE THREE HELLO AUSTRIAN SEVEN,1.32,8,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1008_seg_0.wav,PRESENT HEADING,4.84,9,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1009_seg_0.wav,DESCENDING LEVEL SEVEN ZERO CSA SEVEN THREE TWO THREE,2.13,10,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_100_seg_0.wav,LUFTHANSA ONE FOUR NINER TWO PRAHA GOOD EVENING RADAR CONTACT REPORT REQUESTED FLIGHT LEVEL,4.118,11,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1010_seg_0.wav,CSA NINER SEVEN SEVEN RUNWAY THREE ONE CLEARED TO LAND WIND ONE EIGHT ZERO DEGREES TWO KNOTS,1.43,12,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1011_seg_0.wav,TANGO TWO ONE THREE TAXI TO PARKING IS APPROVED,5.87,13,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1012_seg_0.wav,HOTEL GOLF YANKEE WE APPRECIATE THE SHORTCUT,2.9,14,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1013_seg_0.wav,JUMP RUN EIGHT ZERO THREE VACATE TO THE LEFT TAXI CHARLIE ALPHA STAND WESTERN APRON,3.34,15,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1014_seg_0.wav,GOOD AFTERNOON AIRFRANS ONE SEVEN EIGHT TWO RADAR RADAR CONTACT DESCEND FLIGHT LEVEL,2.39,16,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1015_seg_0.wav,THANK YOU BREAK BREAK HOTEL GOLF OSCAR HELICOPTER ON YOUR RIGHT HAND SIDE WE WILL CROSS BEHIND YOU,2.86,17,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1016_seg_0.wav,LINE UP RUNWAY ONE THREE,1.71,18,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1017_seg_0.wav,LUFTHANSA FIVE MIKE ECHO SORRY SAY AGAIN,5.32,19,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1018_seg_0.wav,ROGER LINE UP RUNWAY THREE ONE LINING UP THREE ONE LOT FIVE ROMEO,2.8,20,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1019_seg_0.wav,DIRECT OSCAR KILO GOLF VICTOR DELTA XRAY,3.48,21,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_101_seg_0.wav,CLIMBING FLIGHT LEVEL ONE SIX ZERO QUALITY NINER ONE ROMEO,2.3,22,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1020_seg_0.wav,DIRECT LAGAR THANK YOU SIERRA ALPHA ECHO,2.65,23,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1021_seg_0.wav,ONE HUNDRED,0.9,24,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1022_seg_0.wav,NOVEMBER GOLF PAPA READ BACK CORRECT REPORT FOR TAXI,1.06,25,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1023_seg_0.wav,TOWER EIGHTEEN ONE CSA,1.33,26,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1024_seg_0.wav,SEVEN ZERO THREE GOOD BYE,2.1,27,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1025_seg_0.wav,ONE THREE TWO,4.68,28,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1026_seg_0.wav,SEVEN FIVE EIGHT,4.45,29,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1027_seg_0.wav,STANDBY,4.82,30,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1028_seg_0.wav,SAY AGAIN CAN YOU THREE BY FIVE HELI HOTEL YANKEE,0.88,31,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1029_seg_0.wav,LEVEL THREE SEVEN ZERO APPROACHING TOMTI,4.9,32,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_102_seg_0.wav,DESCEND FLIGHT LEVEL SEVEN ZERO SEVEN ZERO TWO SIX NINER SIX ZERO,2.72,33,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1030_seg_0.wav,CONNIE EIGHT THREE FIVE COPY,1.79,34,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1031_seg_0.wav,CSA EIGHT MIKE THREE RUNWAY THREE ONE CLEARED TO LAND WIND ONE SEVEN ZERO DEGREES THREE KNOTS,3.19,35,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1032_seg_0.wav,HELI LIMA JULIETT JOIN MID LEFT HELI CIRCUIT THREE TWO LAND AT OWN DISCRETION SWISS HELICOPTER WIND ZERO FOUR ZERO DEGREES ONE ZERO KNOTS,3.09,36,UNKNOWN
