segment_index,duration,file_path,speaker_role,stress_score,transcript,alert_level,alert_reason
0,1.42,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_0_seg_0.wav,UNKNOWN,25.15845919190946,SIERRA DELTA MIKE,Minor Anomaly,Potential Communication Hesitation/Anomaly
1,4.25,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1000_seg_0.wav,UNKNOWN,17.00477227871629,ONE TWO SEVEN ONE TWO FIVE GOOD BYE LUFTHANSA NINER ALPHA FOXTROT,Routine,
2,2.75,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1001_seg_0.wav,UNKNOWN,64.08587110246148,CSA ZERO TWO FIVE HEADING THREE ONE FIVE DESCEND FLIGHT LEVEL NINER ZERO,Routine,
3,0.78,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1002_seg_0.wav,UNKNOWN,33.32643800390199,TWINSTAR EIGHT EIGHT SEVEN DESCEND FOUR THOUSAND FEET CLEARED ILS APPROACH RUNWAY THREE ONE REPORT WHEN ESTABLISHED,Routine,
4,2.44,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1003_seg_0.wav,UNKNOWN,73.99562876835189,ARE CLEARED TO LAND RUNWAY TWO FOUR CSA ONE DELTA ZULU,Elevated Risk,High Stress (Score: 73)
5,4.19,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1004_seg_0.wav,UNKNOWN,4.585514175947125,ONE TWO SEVEN ONE TWO FIVE CSA SEVEN,Routine,
6,2.88,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1005_seg_0.wav,UNKNOWN,42.56373789678313,LUFTHANSA NINER ALPHA HOTEL CLIMB TO FLIGHT LEVEL THREE FOUR ZERO,Routine,
7,5.45,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1006_seg_0.wav,UNKNOWN,15.06487706657785,LUFTHANSA NINER JULIETT CHARLIE TRAFFIC INFORMATION HELICOPTER JUST LANDING ON HELIPORT,Routine,
8,1.32,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1007_seg_0.wav,UNKNOWN,0.2844731982964816,RUNWAY ONE THREE HELLO AUSTRIAN SEVEN,Routine,
9,4.84,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1008_seg_0.wav,UNKNOWN,71.33035165865243,PRESENT HEADING,Elevated Risk,High Stress (Score: 71)
10,2.13,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1009_seg_0.wav,UNKNOWN,50.80580514064056,DESCENDING LEVEL SEVEN ZERO CSA SEVEN THREE TWO THREE,Routine,
11,4.118,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_100_seg_0.wav,UNKNOWN,77.20257924514189,LUFTHANSA ONE FOUR NINER TWO PRAHA GOOD EVENING RADAR CONTACT REPORT REQUESTED FLIGHT LEVEL,Elevated Risk,High Stress (Score: 77)
12,1.43,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1010_seg_0.wav,UNKNOWN,100.0,CSA NINER SEVEN SEVEN RUNWAY THREE ONE CLEARED TO LAND WIND ONE EIGHT ZERO DEGREES TWO KNOTS,EMERGENCY,Severe Stress Spike (Score: 100)
13,5.87,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1011_seg_0.wav,UNKNOWN,41.24290956551951,TANGO TWO ONE THREE TAXI TO PARKING IS APPROVED,Routine,
14,2.9,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1012_seg_0.wav,UNKNOWN,33.631260292033176,HOTEL GOLF YANKEE WE APPRECIATE THE SHORTCUT,Routine,
15,3.34,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1013_seg_0.wav,UNKNOWN,15.814966438710847,JUMP RUN EIGHT ZERO THREE VACATE TO THE LEFT TAXI CHARLIE ALPHA STAND WESTERN APRON,Routine,
16,2.39,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1014_seg_0.wav,UNKNOWN,0.0,GOOD AFTERNOON AIRFRANS ONE SEVEN EIGHT TWO RADAR RADAR CONTACT DESCEND FLIGHT LEVEL,Routine,
17,2.86,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1015_seg_0.wav,UNKNOWN,34.617676676839054,THANK YOU BREAK BREAK HOTEL GOLF OSCAR HELICOPTER ON YOUR RIGHT HAND SIDE WE WILL CROSS BEHIND YOU,Routine,
18,1.71,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1016_seg_0.wav,UNKNOWN,40.5097270630754,LINE UP RUNWAY ONE THREE,Routine,
19,5.32,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1017_seg_0.wav,UNKNOWN,17.333962860493173,LUFTHANSA FIVE MIKE ECHO SORRY SAY AGAIN,Minor Anomaly,Potential Communication Hesitation/Anomaly
20,2.8,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1018_seg_0.wav,UNKNOWN,8.649976938621869,ROGER LINE UP RUNWAY THREE ONE LINING UP THREE ONE LOT FIVE ROMEO,Routine,
21,3.48,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1019_seg_0.wav,UNKNOWN,61.33838291103534,DIRECT OSCAR KILO GOLF VICTOR DELTA XRAY,Routine,
22,2.3,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_101_seg_0.wav,UNKNOWN,100.0,CLIMBING FLIGHT LEVEL ONE SIX ZERO QUALITY NINER ONE ROMEO,EMERGENCY,Severe Stress Spike (Score: 100)
23,2.65,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1020_seg_0.wav,UNKNOWN,18.89778156173389,DIRECT LAGAR THANK YOU SIERRA ALPHA ECHO,Minor Anomaly,Potential Communication Hesitation/Anomaly
24,0.9,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1021_seg_0.wav,UNKNOWN,100.0,ONE HUNDRED,EMERGENCY,Severe Stress Spike (Score: 100)
25,1.06,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1022_seg_0.wav,UNKNOWN,34.56117856791299,NOVEMBER GOLF PAPA READ BACK CORRECT REPORT FOR TAXI,Routine,
26,1.33,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1023_seg_0.wav,UNKNOWN,55.5986259797039,TOWER EIGHTEEN ONE CSA,Routine,
27,2.1,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1024_seg_0.wav,UNKNOWN,37.504435813440935,SEVEN ZERO THREE GOOD BYE,Routine,
28,4.68,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1025_seg_0.wav,UNKNOWN,73.58244349414454,ONE THREE TWO,Elevated Risk,High Stress (Score: 73)
29,4.45,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1026_seg_0.wav,UNKNOWN,14.299626373214188,SEVEN FIVE EIGHT,Routine,
30,4.82,C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1027_seg_0.wav,UNKNOWN,100.0,STANDBY,EMERGENCY,Severe Stress Spike (Score: 100)
